frequencia_Hz,psd_modulante,psd_PM,psd_FM,psd_AM_DSB
12304.687499999998,1.0500177421519672e-18,7.038718258759658e-16,7.198488742812849e-16,2.4494195258021536e-15
12402.343749999998,1.0011994317072321e-18,6.50239313221218e-16,6.65013101135099e-16,2.2629990254232606e-15
12499.999999999998,9.550052065886638e-19,6.013266970406753e-16,6.15006495615121e-16,2.0929791552529574e-15
12597.656249999998,9.112751425812915e-19,5.566645214073939e-16,5.693480775647947e-16,1.9377282546627087e-15
12695.312499999998,8.69860174261566e-19,5.158352644593538e-16,5.276101624534194e-16,1.795795186472514e-15
12792.968749999998,8.306213006346819e-19,4.784670059438686e-16,4.894118772009416e-16,1.6658875176892377e-15
12890.624999999998,7.934288574212514e-19,4.442279640408608e-16,4.544135303411715e-16,1.5468523527489158e-15
12988.281249999998,7.581617952524312e-19,4.128217642339538e-16,4.2231170680068254e-16,1.4376598428332111e-15
13085.937499999998,7.24707064005881e-19,3.839832481935538e-16,3.928350356449716e-16,1.3373887280197424e-15
13183.593749999998,6.929590269864865e-19,3.574748922489155e-16,3.657404431348635e-16,1.2452137504029717e-15
13281.249999999998,6.628189317981977e-19,3.3308361652793785e-16,3.408099266961057e-16,1.1603946771669436e-15
13378.906249999998,6.341943953671616e-19,3.1061805909614375e-16,3.1784770930119027e-16,1.0822666413354898e-15
13476.562499999998,6.069989700008509e-19,2.8990608415194334e-16,2.966777350249922e-16,1.0102317324854352e-15
13574.218749999998,5.811517185657382e-19,2.707927245882147e-16,2.7714150813859003e-16,9.437515582005256e-16
13671.874999999998,5.565768221102992e-19,2.531382391423391e-16,2.590961395755482e-16,8.823407441721167e-16
13769.531249999998,5.332032239624471e-19,2.368165135876699e-16,2.424126751876365e-16,8.255611745208318e-16
13867.187499999998,5.109643002099633e-19,2.2171357210496134e-16,2.2697459458823776e-16,7.730169524741192e-16
13964.843749999998,4.897975557479451e-19,2.0772629326365633e-16,2.12676490358504e-16,7.24349888337694e-16
14062.499999999998,4.696443459270002e-19,1.9476129921034306e-16,1.9942290542178153e-16,6.792355937857757e-16
14160.156249999998,4.504496045058658e-19,1.8273389849476521e-16,1.8712728956226275e-16,6.373799249028793e-16
14257.812499999998,4.321616054289606e-19,1.715672445303791e-16,1.7571110288880797e-16,5.985159080924241e-16
14355.468749999998,4.1473175343038986e-19,1.6119149106190072e-16,1.6510298120317486e-16,5.624009643046722e-16
14453.124999999998,3.9811434741816113e-19,1.515431331134364e-16,1.5523801731062605e-16,5.288144612410286e-16
14550.781249999998,3.8226642529155444e-19,1.425643335670251e-16,1.4605713270454789e-16,4.975555190176107e-16
14648.437499999998,3.6714754046194326e-19,1.3420239826160887e-16,1.375064808787659e-16,4.684410708102942e-16
14746.093749999998,3.527196479287052e-19,1.2640925087671058e-16,1.2953695188844883e-16,4.413041155479207e-16
14843.749999999998,3.3894690118799787e-19,1.191409969176583e-16,1.2210370023829568e-16,4.159921728585378e-16
14941.406249999998,3.2579553894223425e-19,1.1235752649201438e-16,1.1516575208143475e-16,3.9236588133227016e-16
15039.062499999998,3.132337521862141e-19,1.0602214210366496e-16,1.0868562355680117e-16,3.702977676429328e-16
15136.718749999998,3.01231537074386e-19,1.001012514328094e-16,1.0262900249910163e-16,3.496711161833095e-16
15234.374999999998,2.8976060947841573e-19,9.456407387865293e-17,9.696444153115948e-17,3.303789799713985e-16
15332.031249999998,2.7879427618973093e-19,8.938237682466519e-17,9.16631143134926e-17,3.123232701862712e-16
15429.687499999998,2.68307344550332e-19,8.453024771019269e-17,8.669854584875492e-17,2.954139510571479e-16
15527.343749999998,2.5827602973157743e-19,7.998388927172609e-17,8.204643160935964e-17,2.795683187352371e-16
15624.999999999998,2.4867786547247083e-19,7.572140959464433e-17,7.768441897555998e-17,2.647103240432884e-16
15722.656249999998,2.394916195878591e-19,7.172268291538686e-17,7.359194226698283e-17,2.5076999792576655e-16
15820.312499999998,2.3069723124749404e-19,6.796916650256902e-17,6.975006954275444e-17,2.3768291696417113e-16
15917.968749999998,2.2227572674891638e-19,6.444377619659014e-17,6.614135252207296e-17,2.2538970457201614e-16
16015.624999999998,2.1420915875036483e-19,6.113076029017374e-17,6.274969852902962e-17,2.1383560507793233e-16
16113.281249999998,2.0648054899916356e-19,5.801558028898055e-17,5.956026240494912e-17,2.0297008615250715e-16
16210.937499999998,1.9907382575958315e-19,5.508480844747237e-17,5.655932924320439e-17,1.9274647682393612e-16
16308.593749999998,1.9197377192590307e-19,5.232603771471782e-17,5.373422552131126e-17,1.831216431414086e-16
16406.249999999996,1.8516597417077234e-19,4.972779479144543e-17,5.1073232947940244e-17,1.740556921923456e-16
16503.906249999996,1.786367766227653e-19,4.727945916555107e-17,4.8565502114177526e-17,1.65511707088176e-16
16601.562499999996,1.7237323948596395e-19,4.497119511824745e-17,4.620099354199911e-17,1.5745548289518815e-16
16699.218749999996,1.6636309068305312e-19,4.27938921956704e-17,4.397038899747066e-17,1.4985535729255907e-16
16796.874999999996,1.6059469669336171e-19,4.07391061617423e-17,4.1865070191714e-17,1.4268192180554105e-16
16894.531249999996,1.5505701533595226e-19,3.8798981981972905e-17,3.987701808060331e-17,1.3590791788503318e-16
16992.187499999996,1.497395779210259e-19,3.696625542332418e-17,3.7998801551537096e-17,1.295080405115564e-16
17089.843749999996,1.4463243472832114e-19,3.523415746739895e-17,3.6223509798094006e-17,1.234587489852361e-16
17187.499999999996,1.397261488021985e-19,3.35964025813628e-17,3.454472244339437e-17,1.1773819557322954e-16
17285.156249999996,1.3501175245559325e-19,3.2047143291015107e-17,3.2956466146751967e-17,1.1232602669526553e-16
17382.812499999996,1.304807282555222e-19,3.058094195951381e-17,3.145318003033878e-17,1.0720332263078645e-16
17480.468749999996,1.2612497305851725e-19,2.919272644158344e-17,3.002968732858896e-17,1.0235244313333868e-16
17578.124999999996,1.2193680163478318e-19,2.7877779408674046e-17,2.8681164048099934e-17,9.775696889055686e-17
17675.781249999996,1.179088847669334e-19,2.6631697603361813e-17,2.740311259306676e-17,9.340157721169654e-17
17773.437499999996,1.1403426759224416e-19,2.5450376096529948e-17,2.6191337363680478e-17,8.927198439259943e-17
17871.093749999996,1.1030632758872478e-19,2.4329983594396825e-17,2.504192346308071e-17,8.535485260063211e-17
17968.749999999996,1.0671875816343711e-19,2.3266941501850838e-17,2.3951212124259e-17,8.163772939276362e-17
18066.406249999996,1.0326556320903289e-19,2.2257908377892937e-17,2.2915789638341678e-17,7.810897776135959e-17
18164.062499999996,9.994102516382836e-20,2.1299758367426086e-17,2.1932460161424093e-17,7.475772071101746e-17
18261.718749999996,9.673970745592084e-20,2.0389570768754052e-17,2.0998237961847466e-17,7.157378517258898e-17
18359.374999999996,9.365642501403169e-20,1.952461059190078e-17,2.0110327687215238e-17,6.854764596559701e-17
18457.031249999996,9.06862372072392e-20,1.870231663314577e-17,1.926611092362311e-17,6.567039772647949e-17
18554.687499999996,8.782443534652844e-20,1.7920294989874945e-17,1.8463140050722573e-17,6.293368169688972e-17
18652.343749999996,8.506653134800846e-20,1.717629626090658e-17,1.7699114113495453e-17,6.032967849273865e-17
18749.999999999996,8.240824218793636e-20,1.6468214698330155e-17,1.6971880851248656e-17,5.785105116287089e-17
18847.656249999996,7.984548412780809e-20,1.5794075310229113e-17,1.6279421741682028e-17,5.5490914837620414e-17
18945.312499999996,7.737435987660653e-20,1.515202384279184e-17,1.561983746990928e-17,5.324281433057407e-17
19042.968749999996,7.49911550104524e-20,1.454032091801188e-17,1.4991352237938726e-17,5.110068262602866e-17
19140.624999999996,7.269231219253225e-20,1.3957329810502554e-17,1.4392289600038553e-17,4.905882644351467e-17
19238.281249999996,7.047444786717122e-20,1.3401517118689285e-17,1.382108281798802e-17,4.7111889962793426e-17
19335.937499999996,6.833432218459737e-20,1.2871436652736491e-17,1.3276250422472036e-17,4.525484360367628e-17
19433.593749999996,6.62688433190504e-20,1.2365732088121763e-17,1.2756407242902322e-17,4.3482951351674056e-17
19531.249999999996,6.427505502358373e-20,1.1883125181424677e-17,1.2260242536187343e-17,4.1791762203799297e-17
19628.906249999996,6.235013628819555e-20,1.1422412984294816e-17,1.1786529107432846e-17,4.017708055503167e-17
19726.562499999996,6.049138316584512e-20,1.0982463752997344e-17,1.1334104846372997e-17,3.8634960642228586e-17
19824.218749999996,5.869621831799286e-20,1.0562210606193025e-17,1.0901880502362628e-17,3.716168089204254e-17
19921.874999999996,5.696217199377549e-20,1.016064772774826e-17,1.0488826072812349e-17,3.575373626487051e-17
20019.531249999996,5.528688199262459e-20,9.776828012371684e-18,1.0093971886811418e-17,3.440782115924313e-17
20117.187499999996,5.366809017003161e-20,9.409856811197737e-18,9.716402395646404e-18,3.312081707232548e-17
20214.843749999996,5.2103633965034195e-20,9.058891769395456e-18,9.355254375415867e-18,3.188978195323724e-17
20312.499999999996,5.059144381637602e-20,8.723135933188115e-18,9.009713174620345e-18,3.071193860219371e-17
20410.156249999996,4.91295400554879e-20,8.401837778431472e-18,8.679008479788377e-18,2.958466434025541e-17
20507.812499999996,4.7716021227876683e-20,8.094287574265688e-18,8.362413858100302e-18,2.8505481205525076e-17
20605.468749999996,4.634907618286687e-20,7.799813980064875e-18,8.059241190547946e-18,2.7472048381143833e-17
20703.124999999996,4.502695873069648e-20,7.517783871179169e-18,7.768842846900244e-18,2.6482151591422028e-17
20800.781249999996,4.374800299751741e-20,7.247595717904092e-18,7.490602928186751e-18,2.5533698567327667e-17
20898.437499999996,4.2510611887621577e-20,6.988684224816276e-18,7.223940299907823e-18,2.4624708013350963e-17
20996.093749999996,4.131324998002364e-20,6.7405113526921985e-18,6.968306073277171e-18,2.3753306353208466e-17
21093.749999999996,4.0154451422267366e-20,6.502569226726443e-18,6.723179004408732e-18,2.291771921859318e-17
21191.406249999996,3.9032803209930953e-20,6.274376938546173e-18,6.488066517304722e-18,2.2116266229676056e-17
21289.062499999996,3.7946960223347433e-20,6.055478598151256e-18,6.262500624099565e-18,2.13473560911597e-17
21386.718749999996,3.6895620784844877e-20,5.8454427695318694e-18,6.046039804021348e-18,2.0609479910510527e-17
21484.374999999996,3.587754285509953e-20,5.6438586286282995e-18,5.838264213050149e-18,1.9901207943641573e-17
21582.031249999996,3.489153307580602e-20,5.450340160365477e-18,5.638774966268219e-18,1.922118456705828e-17
21679.687499999996,3.3936447218774925e-20,5.2645180976198365e-18,5.4471964913433686e-18,1.8568122579812335e-17
21777.343749999996,3.30111829814461e-20,5.086042496625498e-18,5.263169415932409e-18,1.794080333780044e-17
21874.999999999996,3.211468532361965e-20,4.914583358170617e-18,5.0863541027429956e-18,1.7338066349973685e-17
21972.656249999996,3.1245940674156136e-20,4.7498250499731805e-18,4.916428130146992e-18,1.675881330858248e-17
22070.312499999996,3.040397349656915e-20,4.5914694065973135e-18,4.7530847647997854e-18,1.620199843188677e-17
22167.968749999996,2.958785065137936e-20,4.439231386941839e-18,4.596033047242857e-18,1.5666630565728055e-17
22265.624999999996,2.879666831062417e-20,4.292842410099781e-18,4.444995673178281e-18,1.515176512351929e-17
22363.281249999996,2.802956545380211e-20,4.1520454750892996e-18,4.299710633955945e-18,1.4656507035426314e-17
22460.937499999996,2.7285710711743164e-20,4.0165969867095925e-18,4.159926927828542e-18,1.41800019636018e-17
22558.593749999996,2.6564304570563788e-20,3.8862650772721366e-18,4.025406908333676e-18,1.37214415968245e-17
22656.249999999996,2.586457982154776e-20,3.760828803251736e-18,3.895924630252829e-18,1.3280051480113383e-17
22753.906249999996,2.518579649330142e-20,3.640079109471588e-18,3.7712640409029024e-18,1.2855100114881857e-17
22851.562499999996,2.4527246603306816e-20,3.523815366274616e-18,3.6512205506060275e-18,1.244588643399089e-17
22949.218749999996,2.3888243404677208e-20,3.411847565773284e-18,3.535598661361846e-18,1.2051745943977155e-17
23046.874999999996,2.3268132019520628e-20,3.3039949615679216e-18,3.424212464103527e-18,1.1672044691840512e-17
23144.531249999996,2.2666277846974325e-20,3.2000845652516492e-18,3.316884818291829e-18,1.1306177973702854e-17
23242.187499999996,2.20820725158803e-20,3.099951855238134e-18,3.2134468244211618e-18,1.095357120076728e-17
23339.843749999996,2.151492895640544e-20,3.003440208464312e-18,3.11373753425937e-18,1.0613674714248134e-17
23437.499999999996,2.0964283160808392e-20,2.9104004443591764e-18,3.0176032707510797e-18,1.0285965965417255e-17
23535.156249999996,2.0429590600585256e-20,2.820689498069657e-18,2.9248978929701596e-18,9.969945720141755e-18
23632.812499999996,1.9910328119985432e-20,2.7341718953744284e-18,2.83548173655842e-18,9.665137998509589e-18
23730.468749999996,1.9405992713204377e-20,2.6507176477458375e-18,2.74922139922546e-18,9.371088449881705e-18
23828.124999999996,1.8916094598676442e-20,2.5702031549349173e-18,2.6659897881953288e-18,9.087363718449972e-18
23925.781249999996,1.8440169123581044e-20,2.4925098466106583e-18,2.5856653967897177e-18,8.813549636722357e-18
24023.437499999996,1.797776269419788e-20,2.417525516586707e-18,2.5081324877699755e-18,8.549251198115222e-18
24121.093749999996,1.7528442263660668e-20,2.345141811330532e-18,2.433279852352453e-18,8.294090532595092e-18
24218.749999999996,1.7091786490789353e-20,2.275256119536811e-18,2.361002341160864e-18,8.047707351007893e-18
24316.406249999996,1.6667392071923276e-20,2.2077699418192132e-18,2.2911981690151753e-18,7.80975630736354e-18
