frequencia_Hz,magnitude_PM,magnitude_FM,magnitude_AM_DSB
1970.0,4.054255479003525e-12,3.1753931331789285e-12,5.083166918574777e-13
1980.0,5.659411370667874e-12,4.897704092702793e-12,5.240514064097059e-13
1990.0,6.8439556720344474e-12,9.681353497686145e-12,2.6170556855093106e-13
2000.0,559.7269478530966,2253.0415019425986,4.1830122226676266e-13
2010.0,9.11030948770916e-12,7.054529744225626e-12,4.2679910800250304e-13
2020.0,6.931818338991862e-12,2.576059332939078e-12,6.184105895841474e-13
2030.0,4.771277111301337e-12,2.7952652001698884e-12,4.248657169962487e-13
2040.0,2.9121458914028836e-12,2.379286374696111e-12,1.3209846015832808e-12
2050.0,1.0786330110735466e-12,1.4860031279669172e-12,9.65436182203508e-13
2060.0,1.5506108679997731e-12,2.444245172890524e-12,6.259662515879651e-13
2070.0,2.3271314136840105e-12,1.1728950431390412e-12,1.012259071054633e-12
2080.0,1.8090392246128673e-13,8.121035946268836e-13,1.7692375604665995e-12
2090.0,4.826476977945965e-12,3.049509677063952e-12,3.8184328150138826e-12
2100.0,1441.8120193921845,756.1353623784886,1250.0
2110.0,7.420709033983564e-12,2.553607700481388e-12,3.867195399801348e-12
2120.0,1.8656760937851565e-12,2.5378378013893617e-12,1.8519423468898534e-12
2130.0,1.368257287451058e-12,2.1890390381426676e-12,2.1638521889959004e-12
2140.0,2.057179114325125e-12,1.657249831657535e-12,1.0234210098271517e-12
2150.0,8.46106463828758e-13,2.0414884746906683e-12,8.137094839203343e-13
2160.0,2.3305725775776104e-12,1.2267002401026922e-12,2.0861750738684713e-12
2170.0,2.9606074058817844e-12,1.2195923402438999e-12,7.973297989221524e-13
2180.0,2.4044201268431285e-12,7.310618714425095e-13,1.6535578039405465e-12
2190.0,7.366718735495424e-12,1.343046378212296e-12,1.0476723011461709e-12
2200.0,882.0850715390941,122.42779762510663,6.569048230874353e-13
2210.0,2.060392090749954e-12,1.1402356270687364e-12,4.475357279389828e-13
2220.0,4.2386348767431e-12,2.1284610035863407e-12,2.6070648423283343e-13
2230.0,4.785175502689695e-12,1.84103163050221e-12,1.1885131371912639e-12
2240.0,4.205104666271259e-12,2.3554783977959598e-12,1.0701643047799191e-12
2250.0,2.791125309450301e-12,1.3847004700680935e-12,8.767230707080928e-13
2260.0,2.4419336321394673e-12,1.2620505784975513e-12,7.263985044501005e-13
2270.0,1.4100158249752669e-12,1.032026347473462e-12,6.457795941289797e-14
2280.0,4.570115278789789e-13,2.3457983157488437e-12,5.471715419794846e-13
2290.0,7.779546735442497e-13,3.3479036429078928e-12,1.427547776553097e-12
2300.0,322.3581236860034,13.101176849930965,1.9823415017558325e-12
2310.0,1.1666714735473256e-12,3.802410880969499e-12,2.5064694356038755e-12
2320.0,2.828061637709557e-12,2.5715623297862037e-12,9.124931414536342e-13
2330.0,1.7054075529822984e-12,2.801894166448539e-13,6.128193628388432e-13
2340.0,7.214387368007402e-13,5.271114973150159e-13,1.016461738524212e-12
